Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
race604/FlyRefresh,https://github.com/race604/FlyRefresh,master,b3049ab0ec2053b23c6a921ddd23bb6e40820ce9,2866,563,29/06/2022 15:03:00
cmusphinx/sphinx4,https://github.com/cmusphinx/sphinx4,master,8707586053de5c49ba0d698f949ba7e6b6c987ee,1320,564,29/06/2022 15:01:45
victorwon/mopub-android-sdk,https://github.com/victorwon/mopub-android-sdk,master,e440b318ee11383d4e542ac5ad4c7afaf6e7972b,3,564,29/06/2022 15:01:45
androidquery/androidquery,https://github.com/androidquery/androidquery,master,45ed6c85dcf0b3b58a08810b423886fb275b33b0,2062,564,29/06/2022 15:03:00
sqlcipher/android-database-sqlcipher,https://github.com/sqlcipher/android-database-sqlcipher,master,2a8eb64ce037a7007c47f7c8b2312074bf6586b1,2492,565,29/06/2022 15:01:45
addthis/stream-lib,https://github.com/addthis/stream-lib,master,5a3bc87c5314f7771ea3968e9015a3d25536343e,2228,565,29/06/2022 15:03:00
evernote/android-job,https://github.com/evernote/android-job,master,adec0ae13d20e43b4d5dfce7e9eed7a07f98ae78,5377,566,29/06/2022 15:01:45
microservices-demo/shipping,https://github.com/microservices-demo/shipping,master,7797af5958ef6fbc355cd400f5de37ba0f591dae,29,567,29/06/2022 15:01:45
iiordanov/remote-desktop-clients,https://github.com/iiordanov/remote-desktop-clients,master,eca43e0c5fc3132e129bc14e02e26cfae7151778,1660,568,29/06/2022 15:00:45
hefuyicoder/ListenerMusicPlayer,https://github.com/hefuyicoder/ListenerMusicPlayer,master,ec0f9b2b17fc5399b1ef0fe85a74e83a03d1442a,2365,569,29/06/2022 15:00:45
infinispan/infinispan,https://github.com/infinispan/infinispan,main,26cec236f2b5633577e7307f3f76d2927be8bea3,970,569,29/06/2022 15:00:45
reneargento/algorithms-sedgewick-wayne,https://github.com/reneargento/algorithms-sedgewick-wayne,master,c3502bcb2eb13763b86b949857128324a3058a2f,1752,570,29/06/2022 15:01:45
udacity/ud843_Soonami,https://github.com/udacity/ud843_Soonami,starting-point,684ef4e48c148f0e876f636c40638fa11de950d1,122,570,29/06/2022 15:03:00
mendhak/gpslogger,https://github.com/mendhak/gpslogger,master,c95e752d9e815949440da0f71d8c6c24586d8366,1584,571,29/06/2022 15:00:45
Catrobat/Catroid,https://github.com/Catrobat/Catroid,develop,24737be91621cef242fe954939aa5e2723785638,327,571,29/06/2022 15:00:45
puniverse/quasar,https://github.com/puniverse/quasar,master,db0ac29f55bc0515023d67ab86a2178c5e6eeb94,4422,571,29/06/2022 15:00:45
mrdear/JavaWEB,https://github.com/mrdear/JavaWEB,master,a7b8da4e680ab0b06d057b3537e19f47d103bf54,824,571,29/06/2022 15:01:45
iyayu/RedisUtil,https://github.com/iyayu/RedisUtil,master,54fa863735dddfe2f7f89a8cb7670234508b3ba3,152,571,29/06/2022 15:03:00
daproy/android_packages_apps_Settings,https://github.com/daproy/android_packages_apps_Settings,donut,057f89d585b192bec0fb429f082c66e5d4c1c6d0,20,572,29/06/2022 15:00:45
ucsd-cse15l-w22/markdown-parse,https://github.com/ucsd-cse15l-w22/markdown-parse,main,44a15db11dbadaa0053f1308fa4f9a6336153b31,1,572,29/06/2022 15:00:48
alibaba/jvm-sandbox-repeater,https://github.com/alibaba/jvm-sandbox-repeater,master,0635a6a9aae9fdc20e0ec3f197aed5519b15fc1e,1848,572,29/06/2022 15:01:45
wendux/DSBridge-Android,https://github.com/wendux/DSBridge-Android,master,22b19ffaf1538a4352f16134606d417aaab42dbc,3399,573,29/06/2022 15:00:45
spring-cloud/spring-cloud-openfeign,https://github.com/spring-cloud/spring-cloud-openfeign,main,3f55dbecba6729473f9ca1f61b6bba790c2fb948,822,573,29/06/2022 15:01:45
zalando/zalenium,https://github.com/zalando/zalenium,master,4b322387d0a88c6c81fec7466558df1e85fab98d,2380,575,29/06/2022 15:00:45
luojilab/DDComponentForAndroid,https://github.com/luojilab/DDComponentForAndroid,master,328377b2fdfc43dabca00d96f058573fd28b989d,3307,575,29/06/2022 15:00:48
lokeshgupta1981/SpringExamples,https://github.com/lokeshgupta1981/SpringExamples,master,51415bd12b513d0e0db67d87b549cc2af3931fff,207,575,29/06/2022 15:01:45
apereo/java-cas-client,https://github.com/apereo/java-cas-client,master,1c9d98a0a04d5f0e5d65db90ed182791193e0296,807,576,29/06/2022 15:00:45
spotify/docker-maven-plugin,https://github.com/spotify/docker-maven-plugin,master,bae07ca8b69227886114191a4d933b57b212c100,2625,576,29/06/2022 15:00:45
binarywang/weixin-java-miniapp-demo,https://github.com/binarywang/weixin-java-miniapp-demo,master,c3ef16b82360c064e3da09bf79ff9151fd469623,992,576,29/06/2022 15:00:45
BaronZ88/MinimalistWeather,https://github.com/BaronZ88/MinimalistWeather,master,879abc57e8a1d448b0675affcf936b084b7a7ae4,2411,576,29/06/2022 15:00:48
callicoder/spring-boot-websocket-chat-demo,https://github.com/callicoder/spring-boot-websocket-chat-demo,master,2b708ddf1074192f5db056895cb1e3c055a546a9,854,576,29/06/2022 15:03:00
spinnaker/fiat,https://github.com/spinnaker/fiat,master,9e7b7a0d6459756b67f68333f83b5d2dfe071902,61,577,29/06/2022 15:00:45
hazelcast/hazelcast-code-samples,https://github.com/hazelcast/hazelcast-code-samples,master,248214d83b967cedb57eeda64fb8debfefa52a68,510,578,29/06/2022 15:00:48
jtablesaw/tablesaw,https://github.com/jtablesaw/tablesaw,master,66749074c11fa6b81d9516bd49eb3f3798ea4c33,2939,580,29/06/2022 15:00:45
xuruoxuan/kkkajs,https://github.com/xuruoxuan/kkkajs,master,fd63917a1291117738d642ab21c8dc94eed2178e,1312,581,29/06/2022 15:00:37
peterarsentev/job4j_tracker,https://github.com/peterarsentev/job4j_tracker,master,3bc06d79b09b2a9d16743cc2aba3985993cd03b4,5,581,29/06/2022 15:00:37
akexorcist/BluetoothSPPLibrary,https://github.com/akexorcist/BluetoothSPPLibrary,master,1ef9aed709cf11753eeeda220c169e4db1cc4139,1683,581,29/06/2022 15:00:45
strongbox/strongbox,https://github.com/strongbox/strongbox,master,8aecf0d65b6aa2c92310471051f8e54a1110c4de,489,581,29/06/2022 15:00:48
KikiLetGo/VirusBroadcast,https://github.com/KikiLetGo/VirusBroadcast,master,e82d06b6b53cbbc6d20c7fcc340d0d921fd46551,1642,582,29/06/2022 15:00:45
bonigarcia/webdrivermanager,https://github.com/bonigarcia/webdrivermanager,master,f28caf52f2ba22e7cdad9dfe69ae9613639a1e3a,1994,582,29/06/2022 15:00:45
callicoder/spring-boot-react-oauth2-social-login-demo,https://github.com/callicoder/spring-boot-react-oauth2-social-login-demo,master,1b77669e0ca326b1c556a83dc0c3bae233653788,962,582,29/06/2022 15:01:45
ctripcorp/C-OCR,https://github.com/ctripcorp/C-OCR,master,345ec57c9e0afaf2fab903f90cadbc5376a8ad74,2225,584,29/06/2022 15:00:45
JsonChao/Awesome-WanAndroid,https://github.com/JsonChao/Awesome-WanAndroid,master,014526fa281f485aac3635947de3725c668f3470,2596,584,29/06/2022 15:00:48
springframeworkguru/spring-rest-client-examples,https://github.com/springframeworkguru/spring-rest-client-examples,master,bf221a5adf014ba26ce0ab379724a768966eca3f,31,584,29/06/2022 15:01:45
henryyan/activiti-in-action-codes,https://github.com/henryyan/activiti-in-action-codes,master,6c5bf7dcf0055d09b1e21e5bb5706ceb14d47031,1078,585,29/06/2022 15:00:45
lexburner/oauth2-demo,https://github.com/lexburner/oauth2-demo,master,650bcc3700f217bd92b4217f1213ea0e4d33bb3d,1123,585,29/06/2022 15:00:45
dgadiraju/code,https://github.com/dgadiraju/code,master,a01c909e382ae7da5077486536d58b677c24469f,179,586,29/06/2022 15:00:37
