link,Maven,Gradle,Jacoco,Cobertura,Javadoc,Codecov,Travis CI,Github Actions,Lastest GHA CI build,Latest Travis CI build,
https://github.com/apache/commons-lang,Yes,No,No,No,Yes,No,Yes,Yes,https://github.com/apache/commons-lang/actions/runs/1059738399,https://travis-ci.com/github/apache/commons-lang/builds/233516984,
https://github.com/apache/dubbo-spring-boot-project,Yes,No,No,No,Yes,Yes,Yes,Yes,https://github.com/apache/dubbo-spring-boot-project/actions/runs/685821021,https://travis-ci.com/github/apache/dubbo-spring-boot-project/builds/221151576,
https://github.com/rest-assured/rest-assured,Yes,No,No,No,Yes,No,Yes,Yes,https://github.com/rest-assured/rest-assured/actions/runs/958768286,https://travis-ci.com/github/rest-assured/rest-assured/builds/225685804,
https://github.com/apache/jmeter,No,No,No,No,No,Yes,Yes,Yes,https://github.com/apache/jmeter/actions/runs/1060162253,https://travis-ci.com/github/apache/jmeter/builds/229581265,
https://github.com/AsyncHttpClient/async-http-client,Yes,No,No,No,Yes,No,Yes,Yes,https://github.com/AsyncHttpClient/async-http-client/actions/runs/987898968,-,
https://github.com/spring-projects/spring-petclinic,Yes,No,Yes,No,No,No,Yes,No,,not found,
https://github.com/chanjarster/weixin-java-tools,Yes,No,No,No,Yes,No,Yes,No,,no builds,
https://github.com/alibaba/fastjson,Yes,No,Yes,No,Yes,No,Yes,No,,not found,
https://github.com/apache/zookeeper,Yes,No,No,No,Yes,No,Yes,No,,https://www.travis-ci.com/github/apache/zookeeper/builds/233022956,
https://github.com/dromara/hutool,Yes,No,No,Yes,Yes,Yes,Yes,No,,https://www.travis-ci.com/github/dromara/hutool/builds/228358769,
https://github.com/alibaba/easyexcel,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/sqshq/piggymetrics,Yes,No,No,No,No,Yes,Yes,No,,no builds,
https://github.com/greenrobot/EventBus,No,Yes,No,No,Yes,No,Yes,No,,not found,
https://github.com/Netflix/Hystrix,No,Yes,No,Yes,Yes,No,Yes,No,,https://www.travis-ci.com/github/Netflix/Hystrix/builds/197584398,
https://github.com/spring-projects/spring-security-oauth,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/Netflix/eureka,No,Yes,No,No,Yes,No,Yes,No,,https://www.travis-ci.com/github/Netflix/eureka/builds/231330047,
https://github.com/apache/druid,Yes,No,Yes,No,Yes,Yes,Yes,No,,https://www.travis-ci.com/github/apache/druid/builds/233586567,
https://github.com/pagehelper/Mybatis-PageHelper,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/hs-web/hsweb-framework,Yes,No,Yes,No,Yes,Yes,Yes,No,,https://www.travis-ci.com/github/hs-web/hsweb-framework/builds/233515239,
https://github.com/spring-projects/spring-integration-samples,No,Yes,Yes,No,No,No,Yes,No,,not found,
https://github.com/knightliao/disconf,Yes,No,No,Yes,Yes,No,Yes,No,,not found,
https://github.com/NLPchina/ansj_seg,Yes,No,No,No,Yes,No,Yes,No,,no builds,
https://github.com/justauth/JustAuth,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,not found,
https://github.com/ksoichiro/Android-ObservableScrollView,No,Yes,Yes,No,No,No,Yes,No,,not found,
https://github.com/codingapi/tx-lcn,Yes,No,Yes,No,Yes,Yes,Yes,No,,not found,
https://github.com/wildfirechat/server,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/se-edu/addressbook-level4,No,Yes,Yes,No,No,No,Yes,No,,not found,
https://github.com/apache/ignite,Yes,No,No,No,Yes,No,Yes,No,,https://www.travis-ci.com/github/apache/ignite/builds/233412223,
https://github.com/knowm/XChange,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/perwendel/spark,Yes,No,No,No,Yes,No,Yes,No,,not found,
https://github.com/SonarSource/sonarqube,No,Yes,Yes,No,Yes,No,Yes,No,,https://www.travis-ci.com/github/SonarSource/sonarqube/builds/233581387,
https://github.com/NLPchina/elasticsearch-sql,Yes,No,No,No,Yes,No,Yes,No,,https://www.travis-ci.com/github/NLPchina/elasticsearch-sql/builds/231624189,
https://github.com/azkaban/azkaban,No,Yes,Yes,No,No,Yes,Yes,No,,https://www.travis-ci.com/github/azkaban/azkaban/builds/233542510,
https://github.com/gephi/gephi
