name,link,Maven,Gradle,Travis CI,Github Actions
spring-projects/spring-data-examples,https://github.com/spring-projects/spring-data-examples,Yes,No,Yes,project.yml;
apache/cassandra,https://github.com/apache/cassandra,No,No,No,No
hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,No,Yes,No,No
apache/dolphinscheduler,https://github.com/apache/dolphinscheduler,Yes,No,No,Skipped
ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,No,No,No,No
pagehelper/Mybatis-PageHelper,https://github.com/pagehelper/Mybatis-PageHelper,Yes,No,No,Skipped
apache/hbase,https://github.com/apache/hbase,Yes,No,No,No
Grasscutters/Grasscutter,https://github.com/Grasscutters/Grasscutter,No,Yes,No,build.yml;
apache/rocketmq-externals,https://github.com/apache/rocketmq-externals,No,No,Yes,No
spring-guides/gs-spring-boot,https://github.com/spring-guides/gs-spring-boot,No,No,No,No
SERG-Delft/mooc-software-testing,https://github.com/SERG-Delft/mooc-software-testing,Yes,No,No,maven.yml;
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,No,Yes,No,Skipped
pluralsight-projects/Android-CandyCodedApplication,https://github.com/pluralsight-projects/Android-CandyCodedApplication,No,Yes,No,No
guolindev/booksource,https://github.com/guolindev/booksource,No,No,No,No
motianhuo/wechat,https://github.com/motianhuo/wechat,No,No,No,No
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,Yes,No,No,No
kiegroup/drools,https://github.com/kiegroup/drools,Yes,No,No,Skipped
apache/maven,https://github.com/apache/maven,Yes,No,No,Skipped
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,No,Yes,No,No
apache/shiro,https://github.com/apache/shiro,Yes,No,No,maven.yml;
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,Yes,No,No,No
java8/Java8InAction,https://github.com/java8/Java8InAction,Yes,No,No,No
naman14/Timber,https://github.com/naman14/Timber,No,Yes,Yes,No
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,No,Yes,Yes,No
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,Yes,No,Yes,No
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,No,Yes,No,No
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,Yes,No,No,Skipped
stacksimplify/aws-eks-kubernetes-masterclass,https://github.com/stacksimplify/aws-eks-kubernetes-masterclass,No,No,No,No
LaunchCodeEducation/techjobs-console-java,https://github.com/LaunchCodeEducation/techjobs-console-java,No,No,No,No
traccar/traccar,https://github.com/traccar/traccar,No,Yes,No,gradle.yml;
googlesamples/mlkit,https://github.com/googlesamples/mlkit,No,No,No,No
Yalantis/uCrop,https://github.com/Yalantis/uCrop,No,Yes,No,No
drtshock/Potato,https://github.com/drtshock/Potato,Yes,No,No,No
spring-guides/gs-rest-service,https://github.com/spring-guides/gs-rest-service,No,No,No,No
zhihu/Matisse,https://github.com/zhihu/Matisse,No,Yes,Yes,No
Wizcorp/phonegap-facebook-plugin,https://github.com/Wizcorp/phonegap-facebook-plugin,No,No,No,No
brianfrankcooper/YCSB,https://github.com/brianfrankcooper/YCSB,Yes,No,Yes,No
kekingcn/kkFileView,https://github.com/kekingcn/kkFileView,Yes,No,No,maven.yml;
wyouflf/xUtils3,https://github.com/wyouflf/xUtils3,No,Yes,No,No
doocs/jvm,https://github.com/doocs/jvm,No,No,No,Skipped
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,No,Yes,No,No
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,No,Yes,No,No
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,Yes,Yes,No,Skipped
shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,Yes,No,No,No
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,No,Yes,No,support.yml;
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,Yes,No,No,No
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,Yes,No,No,No
youth5201314/banner,https://github.com/youth5201314/banner,No,Yes,No,No
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,Yes,No,Yes,No
knightliao/disconf,https://github.com/knightliao/disconf,Yes,No,Yes,No
TeamNewPipe/NewPipe,https://github.com/TeamNewPipe/NewPipe,No,Yes,No,Skipped
pluralsight-projects/Android-CandyCodedApplication,https://github.com/pluralsight-projects/Android-CandyCodedApplication,No,Yes,No,No
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,No,No,No,No
mockito/mockito,https://github.com/mockito/mockito,No,Yes,No,ci.yml;
guolindev/booksource,https://github.com/guolindev/booksource,No,No,No,No
motianhuo/wechat,https://github.com/motianhuo/wechat,No,No,No,No
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,Yes,No,No,No
kiegroup/drools,https://github.com/kiegroup/drools,Yes,No,No,Skipped
apache/maven,https://github.com/apache/maven,Yes,No,No,Skipped
Netflix/zuul,https://github.com/Netflix/zuul,No,Yes,No,Skipped
apache/shiro,https://github.com/apache/shiro,Yes,No,No,maven.yml;
Curzibn/Luban,https://github.com/Curzibn/Luban,No,Yes,Yes,No
YunaiV/yudao-cloud,https://github.com/YunaiV/yudao-cloud,Yes,No,No,No
java8/Java8InAction,https://github.com/java8/Java8InAction,Yes,No,No,No
MithunTechnologiesDevOps/spring-boot-mongo-docker,https://github.com/MithunTechnologiesDevOps/spring-boot-mongo-docker,Yes,No,No,No
naman14/Timber,https://github.com/naman14/Timber,No,Yes,Yes,No
hellokoding/hellokoding-courses,https://github.com/hellokoding/hellokoding-courses,No,No,No,No
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,No,Yes,Yes,No
tuguangquan/mybatis,https://github.com/tuguangquan/mybatis,Yes,No,Yes,No
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,No,Yes,Yes,No
yixia/VitamioBundle,https://github.com/yixia/VitamioBundle,No,Yes,No,No
jfinal/jfinal,https://github.com/jfinal/jfinal,Yes,No,No,No
TommyLemon/Android-ZBLibrary,https://github.com/TommyLemon/Android-ZBLibrary,No,Yes,No,gradle.yml;
mik3y/usb-serial-for-android,https://github.com/mik3y/usb-serial-for-android,No,Yes,No,build.yml;
wildfly/quickstart,https://github.com/wildfly/quickstart,Yes,No,No,ci.yml;
hmkcode/Java,https://github.com/hmkcode/Java,No,No,No,No
LaunchCodeEducation/java-exercises,https://github.com/LaunchCodeEducation/java-exercises,No,No,No,No
essentials/Essentials,https://github.com/essentials/Essentials,Yes,No,Yes,No
CodingDocs/springboot-guide,https://github.com/CodingDocs/springboot-guide,No,No,No,No
awsdocs/aws-lambda-developer-guide,https://github.com/awsdocs/aws-lambda-developer-guide,No,No,No,No
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,No,Yes,Yes,No
robolectric/robolectric,https://github.com/robolectric/robolectric,No,Yes,No,Skipped
MithunTechnologiesDevOps/maven-standalone-application,https://github.com/MithunTechnologiesDevOps/maven-standalone-application,Yes,No,No,No
XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,No,Yes,No,No
openaphid/android-flip,https://github.com/openaphid/android-flip,No,No,No,No
in28minutes/spring-master-class,https://github.com/in28minutes/spring-master-class,No,No,No,No
abstrakraft/android_build,https://github.com/abstrakraft/android_build,No,No,No,No
LaunchCodeEducation/java-web-dev-exercises,https://github.com/LaunchCodeEducation/java-web-dev-exercises,No,No,No,No
mercyblitz/geekbang-lessons,https://github.com/mercyblitz/geekbang-lessons,No,No,No,No
springframeworkguru/spring5-di-demo,https://github.com/springframeworkguru/spring5-di-demo,Yes,No,No,No
Exrick/xboot,https://github.com/Exrick/xboot,No,No,No,No
ssssssss-team/spider-flow,https://github.com/ssssssss-team/spider-flow,Yes,No,No,No
stacksimplify/kubernetes-fundamentals,https://github.com/stacksimplify/kubernetes-fundamentals,No,No,No,No
se-edu/addressbook-level2,https://github.com/se-edu/addressbook-level2,No,No,Yes,No
bobeast/PushPlugin-deprecated,https://github.com/bobeast/PushPlugin-deprecated,No,No,No,No
OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb,No,No,No,No
getodk/collect,https://github.com/getodk/collect,No,Yes,No,No
yangfuhai/ASimpleCache,https://github.com/yangfuhai/ASimpleCache,No,No,No,No
iNPUTmice/Conversations,https://github.com/iNPUTmice/Conversations,No,Yes,No,android.yml;
nacos-group/nacos-examples,https://github.com/nacos-group/nacos-examples,Yes,No,No,No
rakeshcusat/Code4Reference,https://github.com/rakeshcusat/Code4Reference,No,No,No,No
zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,Yes,No,No,No
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,No,No,Yes,No
in28minutes/spring-microservices,https://github.com/in28minutes/spring-microservices,No,No,No,No
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,No,Yes,No,No
lipangit/JiaoZiVideoPlayer,https://github.com/lipangit/JiaoZiVideoPlayer,No,Yes,No,No
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,No,Yes,No,No
shopizer-ecommerce/shopizer,https://github.com/shopizer-ecommerce/shopizer,Yes,No,No,No
mybatis/spring,https://github.com/mybatis/spring,Yes,No,No,Skipped
frank-lam/fullstack-tutorial,https://github.com/frank-lam/fullstack-tutorial,No,No,Yes,No
MinecraftForge/MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,No,Yes,No,support.yml;
spring-cloud/spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,Yes,No,No,No
newbee-ltd/newbee-mall,https://github.com/newbee-ltd/newbee-mall,Yes,No,No,No
bitcoinj/bitcoinj,https://github.com/bitcoinj/bitcoinj,No,Yes,No,Skipped
NLPchina/ansj_seg,https://github.com/NLPchina/ansj_seg,Yes,No,Yes,No
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,No,Yes,Yes,No
android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,No,No,Yes,android.yml;
pluralsight-projects/Android-CandyCodedApplication,https://github.com/pluralsight-projects/Android-CandyCodedApplication,No,Yes,No,No
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,No,No,No,No
mockito/mockito,https://github.com/mockito/mockito,No,Yes,No,ci.yml;
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,No,Yes,Yes,No
zhanglei-workspace/shopping-management-system,https://github.com/zhanglei-workspace/shopping-management-system,No,No,No,No
motianhuo/wechat,https://github.com/motianhuo/wechat,No,No,No,No
macrozheng/springcloud-learning,https://github.com/macrozheng/springcloud-learning,Yes,No,No,No
febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,Yes,No,No,No
kiegroup/drools,https://github.com/kiegroup/drools,Yes,No,No,Skipped
